Date,Time,T1_CTIM
21-Nov-2023,18:44:10.5,-18
22-Nov-2023,02:34:38.40625,-18
22-Nov-2023,10:25:07.03125,-18
22-Nov-2023,18:15:40.21875,-18
23-Nov-2023,02:06:11.875,-18
23-Nov-2023,09:56:45.125,-18
23-Nov-2023,17:47:22.34375,-18
24-Nov-2023,01:37:49.15625,-18
24-Nov-2023,09:28:22.53125,-18
24-Nov-2023,17:18:54.5,-18
25-Nov-2023,01:09:24.28125,-18
25-Nov-2023,08:59:53.875,-18
25-Nov-2023,16:50:21.71875,-18
26-Nov-2023,00:40:47.53125,-18
26-Nov-2023,08:31:22.90625,-18
26-Nov-2023,16:21:55.90625,-18
27-Nov-2023,00:12:30,-18
27-Nov-2023,08:02:53.78125,-18
27-Nov-2023,12:29:15.4375,-18
27-Nov-2023,20:19:49.5,-18
28-Nov-2023,04:10:20.84375,-18
28-Nov-2023,12:00:48.46875,-18
28-Nov-2023,19:51:19.59375,-18
29-Nov-2023,03:41:53.375,-18
29-Nov-2023,11:32:24.21875,-18
29-Nov-2023,19:22:54.71875,-18
30-Nov-2023,03:13:23.75,-18
30-Nov-2023,11:03:56,-18
30-Nov-2023,18:54:32.59375,-18
1-Dec-2023,02:45:01.65625,-18
1-Dec-2023,10:35:30.09375,-18
1-Dec-2023,18:26:02.34375,-18
2-Dec-2023,02:16:33.34375,-18
2-Dec-2023,10:06:57.03125,-18
2-Dec-2023,17:57:31.875,-18
3-Dec-2023,01:47:57.09375,-18
3-Dec-2023,09:38:29.46875,-18
3-Dec-2023,17:29:01.71875,-18
4-Dec-2023,01:19:36.3125,-18
4-Dec-2023,01:57:30.21875,Bad
4-Dec-2023,02:59:47.6875,-18
4-Dec-2023,03:01:12.75,Bad
4-Dec-2023,03:02:17.09375,-18
4-Dec-2023,10:52:41.96875,-18
4-Dec-2023,18:43:01.125,-18
5-Dec-2023,02:33:27.96875,-18
5-Dec-2023,10:24:04.03125,-18
5-Dec-2023,18:14:29.53125,-18
6-Dec-2023,02:04:56.875,-18
6-Dec-2023,09:55:21.3125,-18
6-Dec-2023,17:45:59.6875,-18
7-Dec-2023,01:36:30.71875,-18
7-Dec-2023,09:26:53.78125,-18
7-Dec-2023,17:17:14.78125,-18
8-Dec-2023,01:07:42,-18
8-Dec-2023,08:58:07.59375,-18
8-Dec-2023,16:48:32.4375,-18
9-Dec-2023,00:38:59.0625,-18
9-Dec-2023,08:29:27.375,-18
9-Dec-2023,16:19:53.09375,-18
10-Dec-2023,00:10:18.75,-18
10-Dec-2023,08:00:44.65625,-18
10-Dec-2023,15:51:08.75,-18
10-Dec-2023,23:41:37.0625,-18
11-Dec-2023,07:32:04.78125,-18
11-Dec-2023,15:22:29.75,-18
11-Dec-2023,23:12:52.03125,-18
12-Dec-2023,07:03:15.3125,-18
12-Dec-2023,14:53:39.84375,-18
12-Dec-2023,22:44:03.875,-18
13-Dec-2023,06:34:29.625,-18
13-Dec-2023,14:24:44.53125,-18
13-Dec-2023,22:15:02.625,-18
14-Dec-2023,06:05:22.53125,-18
14-Dec-2023,13:55:40.15625,-18
14-Dec-2023,21:45:56.125,-18
15-Dec-2023,05:36:17.75,-18
15-Dec-2023,13:26:46.03125,-18
15-Dec-2023,21:17:17.90625,-18
16-Dec-2023,05:07:43.5,-18
16-Dec-2023,12:58:13.84375,-18
16-Dec-2023,20:48:39.125,-18
17-Dec-2023,04:39:08.84375,-18
17-Dec-2023,12:29:35.46875,-18
17-Dec-2023,20:20:04.5625,-18
18-Dec-2023,04:10:34.3125,-18
18-Dec-2023,12:01:02.875,-18
18-Dec-2023,19:51:38.03125,-18
19-Dec-2023,03:42:13.28125,-18
19-Dec-2023,11:32:39.28125,-18
19-Dec-2023,19:23:06.75,-18
20-Dec-2023,03:13:40.125,-18
20-Dec-2023,11:04:15,-18
20-Dec-2023,18:54:46.875,-18
21-Dec-2023,02:45:14.03125,-18
21-Dec-2023,10:35:44.5,-18
21-Dec-2023,18:26:17.34375,-18
22-Dec-2023,02:16:50.6875,-18
22-Dec-2023,10:07:22.71875,-18
22-Dec-2023,17:57:51.40625,-18
23-Dec-2023,01:48:24.84375,-18
23-Dec-2023,09:38:55.78125,-18
23-Dec-2023,17:29:31.0625,-18
24-Dec-2023,01:20:03,-18
24-Dec-2023,09:10:27.71875,-18
24-Dec-2023,17:00:55.25,-18
25-Dec-2023,00:51:20.25,-18
25-Dec-2023,08:41:47.40625,-18
25-Dec-2023,16:32:14.46875,-18
26-Dec-2023,00:22:40.25,-18
26-Dec-2023,08:13:01.65625,-18
26-Dec-2023,16:03:23.75,-18
26-Dec-2023,23:53:50.34375,-18
27-Dec-2023,07:44:22.84375,-18
27-Dec-2023,15:34:52.5,-18
27-Dec-2023,23:25:17.71875,-18
28-Dec-2023,07:15:45.96875,-18
28-Dec-2023,15:06:11.53125,-18
28-Dec-2023,22:56:42.90625,-18
29-Dec-2023,06:47:07.28125,-18
29-Dec-2023,14:37:35.4375,-18
29-Dec-2023,22:28:06.34375,-18
30-Dec-2023,06:18:33.6875,-18
30-Dec-2023,14:09:00.4375,-18
30-Dec-2023,21:59:30.78125,-18
31-Dec-2023,05:50:03.125,-18
31-Dec-2023,13:40:30.96875,-18
31-Dec-2023,21:30:53.96875,-18
1-Jan-2024,05:21:11.15625,-18
1-Jan-2024,13:11:31.0625,-18
1-Jan-2024,21:01:57.65625,-18
2-Jan-2024,04:52:24.28125,-18
2-Jan-2024,12:42:50.59375,-18
2-Jan-2024,20:33:18.53125,-18
3-Jan-2024,04:23:52.125,-18
3-Jan-2024,12:14:26.5625,-18
3-Jan-2024,20:04:54.96875,-18
4-Jan-2024,03:55:22.46875,-18
4-Jan-2024,11:45:51.40625,-18
4-Jan-2024,19:36:24.34375,-18
5-Jan-2024,03:26:54.4375,-18
5-Jan-2024,11:17:21.9375,-18
5-Jan-2024,19:07:53,-18
6-Jan-2024,02:58:20.65625,-18
6-Jan-2024,10:48:54.0625,-18
6-Jan-2024,18:39:25.4375,-18
7-Jan-2024,02:29:55.0625,-18
7-Jan-2024,10:20:29.6875,-18
7-Jan-2024,18:11:00.34375,-18
8-Jan-2024,02:01:36.53125,-18
8-Jan-2024,09:52:10.375,-18
8-Jan-2024,17:42:41.0625,-18
9-Jan-2024,01:33:08.75,-18
9-Jan-2024,09:23:39.78125,-18
9-Jan-2024,17:14:12.625,-18
10-Jan-2024,01:04:46.625,-18
10-Jan-2024,08:55:20.90625,-18
10-Jan-2024,16:45:46.53125,-18
11-Jan-2024,00:36:10.9375,-18
11-Jan-2024,08:26:44.28125,-18
11-Jan-2024,16:17:16.8125,-18
12-Jan-2024,00:07:45.15625,-18
12-Jan-2024,07:58:18.3125,-18
12-Jan-2024,15:48:47.6875,-18
12-Jan-2024,23:39:20.40625,-18
13-Jan-2024,07:29:54.65625,-18
13-Jan-2024,15:20:25.65625,-18
13-Jan-2024,23:10:55.9375,-18
14-Jan-2024,07:01:27.5625,-18
14-Jan-2024,14:51:59.0625,-18
14-Jan-2024,22:42:32.34375,-18
15-Jan-2024,06:33:05.03125,-18
15-Jan-2024,14:23:38.9375,-18
15-Jan-2024,22:14:06.6875,-18
16-Jan-2024,06:04:30.46875,-18
16-Jan-2024,13:54:56.03125,-18
16-Jan-2024,14:04:56.5,-18
24-Jan-2024,08:08:17.34375,-18
24-Jan-2024,08:09:23.375,-18
24-Jan-2024,15:59:51.125,-18
24-Jan-2024,23:50:17,-18
25-Jan-2024,07:40:38.6875,-18
25-Jan-2024,15:31:03.65625,-18
25-Jan-2024,23:21:27.65625,-18
26-Jan-2024,07:11:54.8125,-18
26-Jan-2024,15:02:20.125,-18
26-Jan-2024,22:52:37.15625,-18
27-Jan-2024,06:42:59.875,-18
27-Jan-2024,14:33:24.59375,-18
27-Jan-2024,22:23:50.15625,-18
28-Jan-2024,06:14:17.71875,-18
28-Jan-2024,14:04:38.34375,-18
28-Jan-2024,21:55:00.78125,-18
29-Jan-2024,05:45:31.625,-18
29-Jan-2024,06:29:23.53125,-18
29-Jan-2024,13:17:32.21875,Bad
29-Jan-2024,13:17:38.21875,-18
29-Jan-2024,13:17:40.21875,Bad
29-Jan-2024,13:17:41.125,-18
29-Jan-2024,21:08:06.09375,-18
30-Jan-2024,04:58:29.03125,-18
30-Jan-2024,12:48:50.875,-18
30-Jan-2024,20:39:16.40625,-18
31-Jan-2024,04:29:44.03125,-18
31-Jan-2024,12:20:11.46875,-18
31-Jan-2024,20:10:31.4375,-18
1-Feb-2024,04:00:54.125,-18
1-Feb-2024,11:51:25.28125,-18
1-Feb-2024,19:41:47.3125,-18
2-Feb-2024,03:32:05.5625,-18
2-Feb-2024,11:22:26.09375,-18
2-Feb-2024,19:12:49.59375,-18
3-Feb-2024,03:03:15.53125,-18
3-Feb-2024,10:53:43.96875,-18
3-Feb-2024,18:44:07.90625,-18
4-Feb-2024,02:34:29.1875,-18
4-Feb-2024,10:24:53.09375,-18
4-Feb-2024,18:15:18.65625,-18
5-Feb-2024,02:05:44.96875,-18
5-Feb-2024,09:56:06.28125,-18
5-Feb-2024,17:46:26.53125,-18
6-Feb-2024,01:36:48.375,-18
6-Feb-2024,09:27:15.40625,-18
6-Feb-2024,17:17:40.59375,-18
7-Feb-2024,01:08:03.40625,-18
7-Feb-2024,08:58:24.625,-18
7-Feb-2024,16:48:51.21875,-18
8-Feb-2024,00:39:14.25,-18
8-Feb-2024,08:29:40.84375,-18
8-Feb-2024,16:19:58.96875,-18
9-Feb-2024,00:10:24.625,-18
9-Feb-2024,08:00:50.625,-18
9-Feb-2024,15:51:16.6875,-18
9-Feb-2024,23:41:34.28125,-18
10-Feb-2024,07:32:03.25,-18
10-Feb-2024,15:22:34.5,-18
10-Feb-2024,23:13:08.4375,-18
11-Feb-2024,07:03:36.40625,-18
11-Feb-2024,14:54:12.3125,-18
11-Feb-2024,22:44:46.34375,-18
12-Feb-2024,06:35:18.8125,-18
12-Feb-2024,14:25:46.6875,-18
12-Feb-2024,22:16:17.59375,-18
13-Feb-2024,06:06:52.09375,-18
13-Feb-2024,13:57:26.4375,-18
13-Feb-2024,21:47:58.3125,-18
14-Feb-2024,05:38:23.78125,-18
14-Feb-2024,13:28:58.21875,-18
14-Feb-2024,21:19:31.25,-18
15-Feb-2024,05:09:59.1875,-18
15-Feb-2024,13:00:24.875,-18
15-Feb-2024,20:50:48.71875,-18
16-Feb-2024,04:41:19.0625,-18
16-Feb-2024,12:31:51.75,-18
16-Feb-2024,20:22:27.03125,-18
17-Feb-2024,04:12:57.59375,-18
17-Feb-2024,12:03:22.6875,-18
17-Feb-2024,19:53:52.5625,-18
18-Feb-2024,03:44:19.8125,-18
18-Feb-2024,11:34:49.53125,-18
18-Feb-2024,19:25:12.65625,-18
19-Feb-2024,03:15:40.375,-18
19-Feb-2024,11:06:12.0625,-18
19-Feb-2024,18:56:42.5,-18
20-Feb-2024,02:47:11.28125,-18
20-Feb-2024,10:37:35.625,-18
20-Feb-2024,18:28:05.25,-18
21-Feb-2024,02:18:33.4375,-18
21-Feb-2024,10:09:00.3125,-18
21-Feb-2024,17:59:23.0625,-18
22-Feb-2024,01:49:49.90625,-18
22-Feb-2024,09:40:17.4375,-18
22-Feb-2024,17:30:40.46875,-18
23-Feb-2024,01:21:01.5,-18
23-Feb-2024,09:11:21.46875,-18
23-Feb-2024,17:01:49.125,-18
24-Feb-2024,00:52:15.5625,-18
24-Feb-2024,08:42:51.84375,-18
24-Feb-2024,16:33:24.6875,-18
25-Feb-2024,00:23:54.96875,-18
25-Feb-2024,08:14:23.6875,-18
25-Feb-2024,16:04:48.9375,-18
25-Feb-2024,23:55:11.5,-18
26-Feb-2024,07:45:30.5625,-18
26-Feb-2024,15:35:51.8125,-18
26-Feb-2024,23:26:18.15625,-18
27-Feb-2024,07:16:44.59375,-18
27-Feb-2024,15:07:22.3125,-18
27-Feb-2024,22:57:57.75,-18
28-Feb-2024,06:48:28.46875,-18
28-Feb-2024,14:38:59.0625,-18
28-Feb-2024,22:29:32.65625,-18
29-Feb-2024,06:20:00.25,-18
29-Feb-2024,14:10:33.125,-18
29-Feb-2024,22:01:07.34375,-18
1-Mar-2024,05:51:46,-18
1-Mar-2024,13:42:23.34375,-18
1-Mar-2024,21:32:54.40625,-18
2-Mar-2024,05:23:27.21875,-18
2-Mar-2024,13:14:00.8125,-18
2-Mar-2024,21:04:22.46875,-18
3-Mar-2024,04:54:47.25,-18
3-Mar-2024,12:45:13.4375,-18
3-Mar-2024,20:35:41.5625,-18
4-Mar-2024,04:26:08.34375,-18
4-Mar-2024,12:16:25.15625,-18
4-Mar-2024,20:06:52.3125,-18
5-Mar-2024,03:57:18.03125,-18
5-Mar-2024,11:47:42.90625,-18
5-Mar-2024,19:38:09.875,-18
6-Mar-2024,03:28:30.84375,-18
6-Mar-2024,11:18:56.4375,-18
6-Mar-2024,19:09:19.09375,-18
7-Mar-2024,02:59:44.28125,-18
7-Mar-2024,10:50:11.375,-18
7-Mar-2024,18:40:32.03125,-18
8-Mar-2024,02:30:56.78125,-18
8-Mar-2024,10:21:19.3125,-18
8-Mar-2024,18:11:44.28125,-18
9-Mar-2024,02:02:04.9375,-18
9-Mar-2024,09:52:25,-18
9-Mar-2024,17:42:48.65625,-18
10-Mar-2024,01:33:11.375,-18
10-Mar-2024,10:23:36.8125,-18
10-Mar-2024,18:14:04.5,-18
11-Mar-2024,02:04:24.71875,-18
11-Mar-2024,09:54:47.0625,-18
11-Mar-2024,17:45:11.8125,-18
12-Mar-2024,01:35:31.5625,-18
12-Mar-2024,09:25:56.21875,-18
12-Mar-2024,17:16:16.34375,-18
13-Mar-2024,01:06:38,-18
13-Mar-2024,08:57:02.125,-18
13-Mar-2024,16:47:31.96875,-18
14-Mar-2024,00:37:55.15625,-18
14-Mar-2024,08:28:15.6875,-18
14-Mar-2024,16:18:41.09375,-18
14-Mar-2024,19:53:03.5625,-18
14-Mar-2024,19:53:58.71875,Bad
14-Mar-2024,20:03:02.90625,-18
15-Mar-2024,03:53:29.78125,-18
15-Mar-2024,11:43:52.6875,-18
15-Mar-2024,19:34:19.5625,-18
16-Mar-2024,03:24:43.375,-18
16-Mar-2024,11:15:10.125,-18
16-Mar-2024,19:05:35.65625,-18
17-Mar-2024,02:55:59.4375,-18
17-Mar-2024,10:46:25.625,-18
17-Mar-2024,18:36:48.90625,-18
18-Mar-2024,02:27:08.65625,-18
18-Mar-2024,10:17:31.125,-18
18-Mar-2024,18:07:53.625,-18
19-Mar-2024,01:58:20.1875,-18
19-Mar-2024,09:48:39.65625,-18
19-Mar-2024,17:39:08.84375,-18
20-Mar-2024,01:29:43.25,-18
20-Mar-2024,09:20:14.8125,-18
20-Mar-2024,17:10:39.84375,-18
21-Mar-2024,01:01:14.71875,-18
21-Mar-2024,08:51:42.03125,-18
21-Mar-2024,16:42:08.03125,-18
22-Mar-2024,00:32:38.40625,-18
22-Mar-2024,08:23:06.59375,-18
22-Mar-2024,16:13:38.15625,-18
23-Mar-2024,00:04:12.71875,-18
23-Mar-2024,07:54:48.90625,-18
23-Mar-2024,11:28:55.78125,-18
23-Mar-2024,19:19:21.71875,-18
24-Mar-2024,03:09:47.8125,-18
24-Mar-2024,11:00:11.9375,-18
24-Mar-2024,18:50:31.90625,-18
25-Mar-2024,02:40:58.28125,-18
25-Mar-2024,10:31:26.125,-18
25-Mar-2024,18:21:50.5,-18
26-Mar-2024,02:12:12.25,-18
26-Mar-2024,10:02:38.875,-18
26-Mar-2024,17:53:05.9375,-18
27-Mar-2024,01:43:33.28125,-18
27-Mar-2024,09:34:00.09375,-18
27-Mar-2024,17:24:20.46875,-18
28-Mar-2024,01:14:46.34375,-18
28-Mar-2024,03:09:13.125,-18
28-Mar-2024,10:59:36.15625,-18
28-Mar-2024,18:50:04.4375,-18
29-Mar-2024,02:40:28.5,-18
29-Mar-2024,10:30:49.3125,-18
29-Mar-2024,18:21:12.46875,-18
30-Mar-2024,02:11:36.53125,-18
30-Mar-2024,05:21:43.125,-18
