Date,Time,T1_TTWS1AO
14-Mar-2024,19:53:58.84375,Bad
14-Mar-2024,20:03:02.75,-18
15-Mar-2024,03:53:13.4375,-18
15-Mar-2024,11:43:19.03125,-18
15-Mar-2024,19:33:32.125,-18
16-Mar-2024,03:23:50.15625,-18
16-Mar-2024,11:14:03.5625,-18
16-Mar-2024,19:04:09.5,-18
17-Mar-2024,02:54:15.8125,-18
17-Mar-2024,10:44:27.84375,-18
17-Mar-2024,18:34:40.125,-18
18-Mar-2024,02:24:52.5,-18
18-Mar-2024,10:15:13.46875,-18
18-Mar-2024,18:05:25.1875,-18
19-Mar-2024,01:55:31.625,-18
19-Mar-2024,09:45:43.84375,-18
19-Mar-2024,17:36:02.4375,-18
20-Mar-2024,01:26:19.78125,-18
20-Mar-2024,09:16:35.9375,-18
20-Mar-2024,17:06:52.75,-18
21-Mar-2024,00:57:17.5625,-18
21-Mar-2024,08:47:38.40625,-18
21-Mar-2024,16:37:55.125,-18
22-Mar-2024,00:28:15.4375,-18
22-Mar-2024,04:21:46.78125,-18
22-Mar-2024,04:21:47.78125,-58
22-Mar-2024,12:12:10.1875,-58
22-Mar-2024,20:02:36.59375,-58
23-Mar-2024,03:52:54.65625,-58
23-Mar-2024,11:28:55.6875,-58
23-Mar-2024,19:19:15.84375,-58
24-Mar-2024,03:09:22.1875,-58
24-Mar-2024,10:59:41.53125,-58
24-Mar-2024,18:49:48.25,-58
25-Mar-2024,02:39:55.59375,-58
25-Mar-2024,10:30:09.34375,-58
25-Mar-2024,18:20:30.40625,-58
26-Mar-2024,02:10:40.78125,-58
26-Mar-2024,10:00:51.1875,-58
26-Mar-2024,17:51:09.75,-58
27-Mar-2024,01:41:15.875,-58
27-Mar-2024,09:31:34.40625,-58
27-Mar-2024,17:21:44.1875,-58
28-Mar-2024,01:12:01.59375,-58
28-Mar-2024,03:09:13,-58
28-Mar-2024,10:59:27.65625,-58
28-Mar-2024,18:49:41.875,-58
29-Mar-2024,02:39:53.40625,-58
29-Mar-2024,10:30:00.875,-58
29-Mar-2024,18:20:13.46875,-58
30-Mar-2024,02:10:26.65625,-58
30-Mar-2024,04:40:28.59375,-58
